epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2593.05,1.09219,0.581,0.94949,0.87471,0.85739,0.86934,0.43806,1.86125,0.8917,1.32196,0.000561279,0.000561279,0.000561279
69,2630.48,1.07615,0.5633,0.93984,0.87608,0.86667,0.87129,0.43693,1.87447,0.89664,1.32903,0.000544776,0.000544776,0.000544776
70,2668.21,1.06578,0.55651,0.94134,0.86412,0.86667,0.85835,0.42619,1.87413,0.937,1.33639,0.000528272,0.000528272,0.000528272
71,2705.67,1.06823,0.56204,0.94021,0.88484,0.87719,0.88383,0.43667,1.88794,0.92251,1.36173,0.000511769,0.000511769,0.000511769
72,2743.24,1.06366,0.55369,0.9354,0.87313,0.86931,0.8598,0.42236,1.86846,0.95747,1.35059,0.000495266,0.000495266,0.000495266
73,2780.88,1.04831,0.54445,0.93086,0.85961,0.86667,0.85178,0.42322,1.8786,0.98566,1.34192,0.000478762,0.000478762,0.000478762
74,2818.63,1.03337,0.5347,0.92743,0.8576,0.86639,0.86755,0.43452,1.84763,0.98034,1.33141,0.000462259,0.000462259,0.000462259
75,2856.35,1.03874,0.54056,0.93192,0.88997,0.86667,0.87523,0.44092,1.84779,0.96375,1.33428,0.000445756,0.000445756,0.000445756
76,2894.12,1.03475,0.54224,0.92917,0.88865,0.87368,0.86429,0.42852,1.85126,0.95149,1.31121,0.000429253,0.000429253,0.000429253
77,2931.67,1.0226,0.53016,0.9253,0.8762,0.87719,0.86692,0.43773,1.84641,0.96517,1.32468,0.000412749,0.000412749,0.000412749
78,2969.18,1.03145,0.53874,0.92918,0.88233,0.86667,0.87105,0.43011,1.86109,0.99742,1.3212,0.000396246,0.000396246,0.000396246
79,3006.79,1.00326,0.52393,0.92181,0.87316,0.86667,0.87219,0.43354,1.88508,0.97985,1.35529,0.000379743,0.000379743,0.000379743
80,3044.19,1.00495,0.52597,0.91405,0.85798,0.86907,0.85322,0.42367,1.87405,0.94735,1.35754,0.000363239,0.000363239,0.000363239
81,3081.7,0.98402,0.52018,0.91657,0.8699,0.86805,0.85031,0.42206,1.89669,0.97915,1.3734,0.000346736,0.000346736,0.000346736
82,3119.28,0.99943,0.51898,0.91399,0.85811,0.85965,0.85139,0.41923,1.89075,0.95599,1.37399,0.000330233,0.000330233,0.000330233
83,3157.42,0.99177,0.51849,0.91457,0.87714,0.86667,0.86661,0.43291,1.87296,0.91417,1.37494,0.000313729,0.000313729,0.000313729
84,3195.02,0.99058,0.51721,0.91178,0.87635,0.87037,0.86335,0.4266,1.88137,0.92069,1.37955,0.000297226,0.000297226,0.000297226
85,3232.58,0.96655,0.5048,0.9144,0.86528,0.85614,0.84927,0.42468,1.86745,0.92768,1.36435,0.000280723,0.000280723,0.000280723
86,3270.13,0.96541,0.50336,0.91266,0.86599,0.8616,0.85303,0.43123,1.86277,0.91677,1.36222,0.00026422,0.00026422,0.00026422
87,3307.79,0.95938,0.50418,0.90551,0.88069,0.86316,0.86285,0.43439,1.86152,0.9325,1.36691,0.000247716,0.000247716,0.000247716
88,3345.41,0.92154,0.48359,0.90032,0.87204,0.86086,0.85641,0.43,1.86471,0.9409,1.36977,0.000231213,0.000231213,0.000231213
89,3382.88,0.94158,0.49455,0.90325,0.86405,0.84561,0.85607,0.43297,1.8703,0.92849,1.36446,0.00021471,0.00021471,0.00021471
90,3420.36,0.93851,0.49532,0.90224,0.86127,0.84912,0.85437,0.42813,1.87257,0.94577,1.37286,0.000198206,0.000198206,0.000198206
91,3481.28,0.89559,0.44288,0.89567,0.85963,0.85954,0.85431,0.4221,1.88297,0.95787,1.38259,0.000181703,0.000181703,0.000181703
92,3518.12,0.87092,0.4327,0.894,0.86211,0.85556,0.86041,0.42661,1.89029,0.95803,1.38092,0.0001652,0.0001652,0.0001652
93,3554.64,0.87056,0.43333,0.88844,0.8595,0.85965,0.85808,0.42643,1.88537,0.95804,1.37969,0.000148696,0.000148696,0.000148696
94,3591.35,0.84088,0.42227,0.8785,0.86578,0.86005,0.8585,0.42805,1.88595,0.96838,1.3883,0.000132193,0.000132193,0.000132193
95,3628.14,0.84269,0.4176,0.88594,0.85128,0.85614,0.85117,0.42846,1.88708,0.9695,1.39505,0.00011569,0.00011569,0.00011569
96,3664.45,0.82993,0.41214,0.87624,0.84763,0.85965,0.85521,0.43024,1.8976,0.97102,1.40165,9.91865e-05,9.91865e-05,9.91865e-05
97,3701,0.82633,0.41544,0.87997,0.84418,0.85614,0.84834,0.42931,1.89642,0.98105,1.40831,8.26832e-05,8.26832e-05,8.26832e-05
98,3737.97,0.81808,0.41481,0.87902,0.83965,0.84561,0.84295,0.42872,1.8953,0.9796,1.40154,6.61799e-05,6.61799e-05,6.61799e-05
99,3774.7,0.82176,0.41045,0.87526,0.84284,0.85263,0.85356,0.42501,1.89856,0.98525,1.40715,4.96766e-05,4.96766e-05,4.96766e-05
100,3811.32,0.80625,0.40598,0.87318,0.84117,0.83623,0.84389,0.42591,1.89878,0.98433,1.41313,3.31733e-05,3.31733e-05,3.31733e-05
